,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
104,"bad guy","Billie Eilish",938265,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
105,"Lucid Dreams","Juice WRLD",936744,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
106,"Cloud 9","Beach Bunny",932346,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
107,"Shape of You","Ed Sheeran",923455,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
108,"TE MUDASTE","Bad Bunny",907733,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
109,Perfect,"Ed Sheeran",903645,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
110,Ski,"Young Stoner Life",900535,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
111,HOLIDAY,"Lil Nas X",898498,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
112,"Breaking Me",Topic,896426,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
113,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",896383,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
114,SugarCrash!,ElyOtto,896149,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
115,"La Nota","Manuel Turizo",889096,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
116,"At My Worst","Pink Sweat$",882968,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
117,"The Hills","The Weeknd",882871,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
118,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",881166,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
119,"Disco Arranhado - Funk Remix",Malu,869994,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
120,"The Box","Roddy Ricch",868604,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
121,"Just the Way You Are","Bruno Mars",864459,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
122,Golden,"Harry Styles",863405,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
123,"No Te Enamores - Remix",Milly,863228,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
124,"All of Me","John Legend",862951,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
125,You,Regard,861307,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
126,"Laugh Now Cry Later (feat. Lil Durk)",Drake,860673,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
127,"Daddy Issues","The Neighbourhood",857531,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
128,"Savage Love (Laxed - Siren Beat)","Jawsh 685",855140,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
129,"Somebody That I Used To Know",Gotye,854618,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
130,"Dreams - 2004 Remaster","Fleetwood Mac",853422,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
131,"Travesuras - Remix","Nio Garcia",851996,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
132,"Break My Heart","Dua Lipa",850118,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
133,"Machu Picchu",Camilo,847096,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
134,Body,"Russ Millions",839876,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
135,"Volta Bebê, Volta Neném","Dj Guuga",836573,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
136,"The Nights",Avicii,835045,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
137,"7 rings","Ariana Grande",834908,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
138,"Bohemian Rhapsody - Remastered 2011",Queen,833728,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
139,"Blueberry Faygo","Lil Mosey",831447,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
140,"Film out",BTS,829795,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
141,"Liberdade (Quando o Grave Bate Forte)",Alok,827201,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
142,"Rain On Me (with Ariana Grande)","Lady Gaga",821402,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
143,"HIGHEST IN THE ROOM","Travis Scott",821269,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
144,"Do I Wanna Know?","Arctic Monkeys",814565,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
145,Falling,"Harry Styles",812679,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
146,"Life Is Good (feat. Drake)",Future,806873,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
147,Goosebumps,HVME,805272,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
148,"Love Story (Taylor’s Version)","Taylor Swift",801968,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
149,"Ride It",Regard,801544,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
150,"Shy Away","Twenty One Pilots",800532,https://open.spotify.com/track/2z0IupRlVRlDN5r2IVqHyN
151,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",798027,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
152,"Bubblegum Bitch",MARINA,797540,https://open.spotify.com/track/1yOL7ZiXGx5ULeLoktAUAg
153,Yellow,Coldplay,796474,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
154,Dior,"Pop Smoke",795032,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
155,"If the World Was Ending - feat. Julia Michaels","JP Saxe",783144,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
156,Riptide,"Vance Joy",782827,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
157,Aloha,Maluma,782591,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
158,"Another One Bites The Dust - Remastered 2011",Queen,778549,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
159,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",778377,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
160,"Jocelyn Flores",XXXTENTACION,777975,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
161,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",772463,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
162,"Every Breath You Take","The Police",771505,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
163,Closer,"The Chainsmokers",771394,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
164,"Counting Stars",OneRepublic,769334,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
165,"SICKO MODE","Travis Scott",768842,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
166,"Put Your Records On","Ritt Momney",765583,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
167,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",763566,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
168,"Come & Go (with Marshmello)","Juice WRLD",761574,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
